Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Number_of_vehicles_involved,Number_of_casualties,Time,Accident_severity
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,2,2,22:38:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Not a Pedestrian,No distancing,2,2,22:38:00,Fatal
Unknown,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2,22:38:00,Fatal
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,1,1,17:15:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,One way,No junction,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,2,10:30:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,1,1,19:15:00,Serious
Unknown,Male,Elementary school,Owner,Unknown,One way,Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle,2,1,16:39:00,Fatal
18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,16:39:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,16:44:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,16:44:00,Fatal
Over 51,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,1,1,16:20:00,Fatal
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,18:49:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,18:49:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,8:18:00,Fatal
Over 51,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,8:18:00,Fatal
Over 51,Male,Junior high school,Employee,Above 10yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Not a Pedestrian,No distancing,1,1,9:31:00,Serious
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,1,16:30:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Darkness - no lighting,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,21:00:00,Fatal
Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Unknown,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,1,21:00:00,Fatal
Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,1,18:00:00,Fatal
Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,Not a Pedestrian,Getting off the vehicle improperly,2,1,20:13:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,2,1,20:13:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,other,No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,4:45:00,Fatal
Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,1,4:45:00,Fatal
18-30,Male,Elementary school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,1,8:12:00,Fatal
Unknown,Female,Junior high school,Employee,Below 1yr,Undivided Two way,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,1,9:45:00,Fatal
18-30,Male,Junior high school,Employee,Unknown,Undivided Two way,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,1,9:45:00,Fatal
Over 51,Male,Unknown,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,1,1,13:24:00,Fatal
18-30,Male,Writing & reading,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Stopping,Not a Pedestrian,Driving carelessly,1,1,12:42:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,1,1,11:50:00,Serious
31-50,Male,Junior high school,Employee,1-2yr,Unknown,Other,Other,Daylight,Unknown,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,3,14:50:00,Fatal
18-30,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,2,3,14:50:00,Fatal
18-30,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,3,14:50:00,Fatal
18-30,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Unknown,Rollover,Going straight,Not a Pedestrian,Driving carelessly,2,3,14:50:00,Fatal
Unknown,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,16:15:00,Fatal
Over 51,Male,Junior high school,Employee,2-5yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,16:15:00,Fatal
Unknown,Male,Above high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving to the left,2,1,23:50:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,23:50:00,Fatal
Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,15:20:00,Fatal
31-50,Male,High school,Employee,1-2yr,One way,No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,15:20:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,1,14:52:00,Serious
Under 18,Male,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,1,14:52:00,Serious
Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,19:35:00,Serious
31-50,Male,Elementary school,Employee,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left,2,1,19:35:00,Serious
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,8,17:35:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with solid lines road marking),Crossing,Asphalt roads with some distress,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,No distancing,2,8,17:35:00,Fatal
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,Crossing,Unknown,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the right,2,8,17:35:00,Fatal
31-50,Male,High school,Employee,1-2yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Moving Backward,2,8,17:35:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,8,17:35:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving to the left,2,8,17:35:00,Fatal
18-30,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,8,17:35:00,Fatal
18-30,Male,Elementary school,Owner,5-10yr,One way,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,8,17:35:00,Fatal
Unknown,Female,Elementary school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,2,1,14:50:00,Fatal
18-30,Male,Junior high school,Employee,5-10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Rollover,Entering a junction,Not a Pedestrian,Overtaking,2,1,14:50:00,Fatal
31-50,Male,Elementary school,Owner,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Driving carelessly,1,1,16:40:00,Fatal
18-30,Unknown,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the left,1,1,19:04:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Entering a junction,Not a Pedestrian,Driving under the influence of drugs,1,1,20:36:00,Fatal injury
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,1,19:51:00,Fatal
18-30,Male,High school,Employee,1-2yr,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Moving Backward,2,1,19:51:00,Fatal
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,1,1,15:51:00,Fatal
Unknown,Female,Elementary school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,2,1,16:30:00,Serious
31-50,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,Not a Pedestrian,No distancing,2,1,16:30:00,Serious
Unknown,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Driving at high speed,2,1,14:36:00,Fatal
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,2,1,14:36:00,Fatal
Over 51,Male,Junior high school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to vehicle,2,2,13:50:00,Serious
18-30,Male,Elementary school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,2,13:50:00,Serious
31-50,Male,Junior high school,Employee,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Turnover,1,1,17:19:00,Fatal
31-50,Male,Elementary school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2,10:40:00,Fatal
31-50,Male,Junior high school,Owner,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the right,2,2,10:40:00,Fatal
31-50,Male,Unknown,Unknown,Unknown,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,23:31:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the left,2,1,23:31:00,Fatal
Over 51,Male,Elementary school,Owner,2-5yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,1,6:59:00,Fatal
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,3,1,16:30:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,3,1,16:30:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,3,1,16:30:00,Fatal
31-50,Male,High school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,1,1,11:05:00,Fatal
18-30,Male,Junior high school,Employee,5-10yr,other,Unknown,Asphalt roads,Daylight,Raining,Collision with pedestrians,Overtaking,Not a Pedestrian,No priority to pedestrian,2,1,8:48:00,Fatal
